id,pop,lat,lon,Altitude,woreda,Zone/region,Stage,Sex,popn type
AG001,Tesso/Sodicho,6.529954919,38.34217761,1801,Aleta Chuko,Sidama,parent,male,front yard
AG002,Tesso/Sodicho,6.530018414,38.3423132,1803,Aleta Chuko,Sidama,parent,male,front yard
AG003,Tesso/Sodicho,6.52991922,38.34254848,1805,Aleta Chuko,Sidama,parent,female,front yard
AG004,Tesso/Sodicho,6.529900905,38.34237666,1803,Aleta Chuko,Sidama,parent,male,front yard
AG005,Tesso/Sodicho,6.529792382,38.34239489,1795,Aleta Chuko,Sidama,parent,female,front yard
AG006,Tesso/Sodicho,6.529810332,38.34228634,1806,Aleta Chuko,Sidama,parent,male,front yard
AG007,Tesso/Sodicho,6.529539202,38.34246758,1803,Aleta Chuko,Sidama,parent,female,front yard
AG008,Tesso/Sodicho,6.529503102,38.34253094,1803,Aleta Chuko,Sidama,parent,female,front yard
AG009,Tesso/Sodicho,6.52979191,38.34203312,1809,Aleta Chuko,Sidama,progeny,,front yard
AG010,Tesso/Sodicho,6.529383702,38.34114729,1796,Aleta Chuko,Sidama,progeny,,front yard
AG011,Tesso/Sodicho,6.529029814,38.34029758,1788,Aleta Chuko,Sidama,parent,female,front yard
AG012,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG013,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG014,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG015,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG016,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG017,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG018,Tesso/Sodicho,6.528903401,38.34046959,1782,Aleta Chuko,Sidama,progeny,,front yard
AG019,Tesso/Borite,6.541667479,38.34108599,1912,Aleta Chuko,Sidama,parent,male,N.forest patch
AG020,Tesso/Borite,6.541667479,38.34108599,1912,Aleta Chuko,Sidama,progeny,,N.forest patch
AG021,Tesso/Borite,6.541794235,38.34117627,1913,Aleta Chuko,Sidama,parent,female,N.forest patch
AG022,Tesso/Borite,6.541595909,38.34169208,1924,Aleta Chuko,Sidama,parent,female,N.forest patch
AG023,Tesso/Borite,6.541595909,38.34169208,1924,Aleta Chuko,Sidama,parent,male,N.forest patch
AG024,Tesso/Borite,6.541595909,38.34169208,1924,Aleta Chuko,Sidama,progeny,,N.forest patch
AG025,Tesso/Borite,6.541406047,38.34176469,1930,Aleta Chuko,Sidama,parent,female,N.forest patch
AG026,Tesso/Borite,6.541406047,38.34176469,1930,Aleta Chuko,Sidama,parent,male,N.forest patch
AG027,Tesso/Borite,6.541406047,38.34176469,1930,Aleta Chuko,Sidama,progeny,,N.forest patch
AG028,Tesso/Borite,6.541406071,38.34178278,1930,Aleta Chuko,Sidama,progeny,,N.forest patch
AG029,Tesso/Borite,6.541705567,38.34254214,1937,Aleta Chuko,Sidama,parent,female,N.forest patch
AG030,Tesso/Borite,6.541705567,38.34254214,1937,Aleta Chuko,Sidama,parent,male,N.forest patch
AG031,Tesso/Borite,6.541705567,38.34254214,1937,Aleta Chuko,Sidama,progeny,,N.forest patch
AG032,Tesso/Borite,6.541823431,38.34275001,1943,Aleta Chuko,Sidama,parent,female,N.forest patch
AG033,Tesso/Borite,6.541823431,38.34275001,1943,Aleta Chuko,Sidama,progeny,,N.forest patch
AG034,Tesso/Borite,6.541823431,38.34275001,1943,Aleta Chuko,Sidama,progeny,,N.forest patch
AG035,Tesso/Borite,6.54237515,38.34270406,1935,Aleta Chuko,Sidama,progeny,,N.forest patch
AG036,Tesso/Borite,6.542274264,38.34164597,1923,Aleta Chuko,Sidama,progeny,,N.forest patch
AG037,Wonsho Abbo,6.753145219,38.5126657,2045,Wonsho,Sidama,parent,male,N.forest patch
AG038,Wonsho Abbo,6.752484835,38.51262112,2051,Wonsho,Sidama,parent,female,N.forest patch
AG039,Wonsho Abbo,6.752710924,38.5125666,2042,Wonsho,Sidama,progeny,,N.forest patch
AG040,Wonsho Abbo,6.752076627,38.51147233,2057,Wonsho,Sidama,parent,female,N.forest patch
AG041,Wonsho Abbo,6.752076627,38.51147233,2057,Wonsho,Sidama,parent,male,N.forest patch
AG042,Wonsho Abbo,6.752076627,38.51147233,2057,Wonsho,Sidama,progeny,,N.forest patch
AG043,Wonsho Abbo,6.752500059,38.50976169,2042,Wonsho,Sidama,progeny,,N.forest patch
AG044,Wonsho Abbo,6.752500059,38.50976169,2042,Wonsho,Sidama,progeny,,N.forest patch
AG045,Wonsho Abbo,6.752074127,38.50898392,2044,Wonsho,Sidama,parent,male,N.forest patch
AG046,Wonsho Abbo,6.752083182,38.50899296,2044,Wonsho,Sidama,parent,female,N.forest patch
AG047,Wonsho Abbo,6.751658634,38.50959061,2051,Wonsho,Sidama,parent,female,N.forest patch
AG048,Wonsho Abbo,6.751658634,38.50959061,2051,Wonsho,Sidama,progeny,,N.forest patch
AG049,Wonsho Abbo,6.750709552,38.51030641,2042,Wonsho,Sidama,progeny,,N.forest patch
AG050,Wonsho Abbo,6.750538899,38.51151912,2087,Wonsho,Sidama,progeny,,N.forest patch
AG051,Wonsho Abbo,6.750855726,38.51174502,2078,Wonsho,Sidama,parent,female,N.forest patch
AG052,Wonsho Abbo,6.751408837,38.51306558,2081,Wonsho,Sidama,progeny,,N.forest patch
AG053,Wonsho Abbo,6.751418127,38.51330989,2094,Wonsho,Sidama,parent,male,N.forest patch
AG054,Wonsho Abbo,6.75169905,38.51381634,2078,Wonsho,Sidama,parent,male,N.forest patch
AG055,Wonsho Abbo,6.75169905,38.51381634,2078,Wonsho,Sidama,progeny,,N.forest patch
AG056,Wonsho Abbo,6.752421922,38.51302838,2072,Wonsho,Sidama,progeny,,N.forest patch
AG057,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,male,gudumale/communal gathering
AG058,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,female,gudumale/communal gathering
AG059,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,female,gudumale/communal gathering
