id,pop,lat,lon,Altitude,woreda,Stage,Sex,popn type,site
AG001,Sidama,6.529954919,38.34217761,1801,Aleta Chuko,parent,male,front yard,Tesso/Sodicho
AG002,Sidama,6.530018414,38.3423132,1803,Aleta Chuko,parent,male,front yard,Tesso/Sodicho
AG003,Sidama,6.52991922,38.34254848,1805,Aleta Chuko,parent,female,front yard,Tesso/Sodicho
AG004,Sidama,6.529900905,38.34237666,1803,Aleta Chuko,parent,male,front yard,Tesso/Sodicho
AG005,Sidama,6.529792382,38.34239489,1795,Aleta Chuko,parent,female,front yard,Tesso/Sodicho
AG006,Sidama,6.529810332,38.34228634,1806,Aleta Chuko,parent,male,front yard,Tesso/Sodicho
AG007,Sidama,6.529539202,38.34246758,1803,Aleta Chuko,parent,female,front yard,Tesso/Sodicho
AG008,Sidama,6.529503102,38.34253094,1803,Aleta Chuko,parent,female,front yard,Tesso/Sodicho
AG009,Sidama,6.52979191,38.34203312,1809,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG010,Sidama,6.529383702,38.34114729,1796,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG011,Sidama,6.529029814,38.34029758,1788,Aleta Chuko,parent,female,front yard,Tesso/Sodicho
AG012,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG013,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG014,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG015,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG016,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG017,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG018,Sidama,6.528903401,38.34046959,1782,Aleta Chuko,progeny,unknown,front yard,Tesso/Sodicho
AG019,Sidama,6.541667479,38.34108599,1912,Aleta Chuko,parent,male,N.forest patch,Tesso/Borite
AG020,Sidama,6.541667479,38.34108599,1912,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG021,Sidama,6.541794235,38.34117627,1913,Aleta Chuko,parent,female,N.forest patch,Tesso/Borite
AG022,Sidama,6.541595909,38.34169208,1924,Aleta Chuko,parent,female,N.forest patch,Tesso/Borite
AG023,Sidama,6.541595909,38.34169208,1924,Aleta Chuko,parent,male,N.forest patch,Tesso/Borite
AG024,Sidama,6.541595909,38.34169208,1924,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG025,Sidama,6.541406047,38.34176469,1930,Aleta Chuko,parent,female,N.forest patch,Tesso/Borite
AG026,Sidama,6.541406047,38.34176469,1930,Aleta Chuko,parent,male,N.forest patch,Tesso/Borite
AG027,Sidama,6.541406047,38.34176469,1930,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG028,Sidama,6.541406071,38.34178278,1930,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG029,Sidama,6.541705567,38.34254214,1937,Aleta Chuko,parent,female,N.forest patch,Tesso/Borite
AG030,Sidama,6.541705567,38.34254214,1937,Aleta Chuko,parent,male,N.forest patch,Tesso/Borite
AG031,Sidama,6.541705567,38.34254214,1937,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG032,Sidama,6.541823431,38.34275001,1943,Aleta Chuko,parent,female,N.forest patch,Tesso/Borite
AG033,Sidama,6.541823431,38.34275001,1943,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG034,Sidama,6.541823431,38.34275001,1943,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG035,Sidama,6.54237515,38.34270406,1935,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG036,Sidama,6.542274264,38.34164597,1923,Aleta Chuko,progeny,unknown,N.forest patch,Tesso/Borite
AG037,Sidama,6.753145219,38.5126657,2045,Wonsho,parent,male,N.forest patch,Wonsho Abbo
