id;pop;lat;lon;variety;remark
C1;CobánAV;15.717778;-90.453611;Unknown;FEDECOVERA
C2;CobánAV;15.71777;-90.453611;Unknown;FEDECOVERA
C3;CobánAV;15.719593;-90.453042;Unknown;FEDECOVERA
C4;CobánAV;15.719643;-90.455119;Unknown;FEDECOVERA
C5;CobánAV;15.721099;-90.455988;Unknown;FEDECOVERA
C6;CobánAV;15.722008;-90.457554;Unknown;FEDECOVERA
C7;CobánAV;15.716944;-90.456389;Unknown;FEDECOVERA
C8;CobánAV;15.714822;-90.455252;Unknown;FEDECOVERA
C9;CobánAV;15.714275;-90.458299;Unknown;FEDECOVERA
C10;CobánAV;15.715112;-90.460059;Unknown;FEDECOVERA
C11;PanzosAV;15.287794;-89.760586;Unknown;
C12;PanzosAV;15.261328;-89.77659;Unknown;
C13;PanzosAV;15.27149;-89.771844;Unknown;
C14;PanzosAV;15.265198;-89.771531;Unknown;
C15;PanzosAV;15.264513;-89.769438;Unknown;
C16;PanzosAV;15.266164;-89.771267;Unknown;
C17;PanzosAV;15.272305;-89.766916;Unknown;
C18;PanzosAV;15.272305;-89.766916;Unknown;
C19;PanzosAV;15.28044;-89.764336;Unknown;
C20;PanzosAV;15.282616;-89.766433;Unknown;
C21;PanzosAV;15.28044;-89.764336;Unknown;
C22;PanzosAV;15.267976;-89.769799;Unknown;
C23;PanzosAV;15.28252;-89.761731;Unknown;
C24;PanzosAV;15.268274;-89.769779;Unknown;
C25;PanzosAV;15.268274;-89.769779;Unknown;
C26;ChibaylLanquin;15.573056;-89.978333;Unknown;
C27;ChibaylLanquin;15.577778;-89.987778;Unknown;
C28;ChibaylLanquin;15.572778;-89.973611;Unknown;
C29;ChibaylLanquin;15.5725;-89.973333;Unknown;
C30;ChibaylLanquin;15.571111;-89.972333;Unknown;
C31;ChibaylLanquin;15.570339;-89.970622;Unknown;
C32;ChibaylLanquin;15.569722;-89.971389;Unknown;
C33;ChibaylLanquin;15.558056;-89.97361;Unknown;
C34;ChibaylLanquin;15.560833;-89.973611;Unknown;
C35;ChibaylLanquin;15.562663;-89.971154;Unknown;
C36;ChibaylLanquin;15.566737;-89.964421;UF613;
C37;ChibaylLanquin;15.564722;-89.965;Unknown;
C38;ChibaylLanquin;15.570222;-89.971972;CCN51;
C39;ChibaylLanquin;15.571778;-89.971833;Unknown;
C40;ChibaylLanquin;15.574972;-89.972833;Unknown;
C41;ChibaylLanquin;15.568556;-89.96375;Unknown;
C42;ChibaylLanquin;15.571806;-89.973722;CATIE_R1;
C43;ChibaylLanquin;15.572194;-89.914556;UF676;
C44;ChibaylLanquin;15.566333;-89.972556;ICS95;
C45;ChibaylLanquin;15.56775;-89.972806;PMCT58;
